Date,Close,YearMonth
2018-09-28,4260.08,2018-09
2018-10-31,4191.14,2018-10
2018-11-30,4111.16,2018-11
2018-12-31,4358.52,2018-12
2019-01-31,4129.44,2019-01
2019-02-28,4036.59,2019-02
2019-03-29,4561.25,2019-03
2019-04-30,4522.62,2019-04
2019-05-31,4442.97,2019-05
2019-06-28,4336.29,2019-06
2019-07-31,3773.18,2019-07
2019-08-30,3460.25,2019-08
2019-09-30,3469.49,2019-09
2019-10-31,3684.5,2019-10
2019-11-29,3655.73,2019-11
2019-12-31,3678.14,2019-12
2020-01-31,3528.42,2020-01
2020-02-28,3091.82,2020-02
2020-03-31,2299.01,2020-03
2020-04-30,2652.01,2020-04
2020-05-29,2616.37,2020-05
2020-06-30,2912.74,2020-06
2020-07-31,2967.28,2020-07
2020-08-31,3235.02,2020-08
2020-09-30,2979.26,2020-09
2020-10-30,3000.87,2020-10
2020-11-27,3562.19,2020-11
2020-12-31,3911.12,2020-12
2021-01-29,3961.39,2021-01
2021-02-26,4808.61,2021-02
2021-03-31,4705.55,2021-03
2021-04-30,4867.47,2021-04
2021-05-31,5402.19,2021-05
2021-06-30,5544.28,2021-06
2021-07-30,5640.08,2021-07
2021-08-31,5583.1,2021-08
2021-09-30,6117.47,2021-09
2021-10-29,6256.1,2021-10
2021-11-30,5852.85,2021-11
2021-12-31,5934.66,2021-12
2022-01-31,6329.11,2022-01
2022-02-28,6099.13,2022-02
2022-03-31,6340.31,2022-03
2022-04-29,6420.4,2022-04
2022-05-31,5973.92,2022-05
2022-06-30,5541.62,2022-06
2022-07-29,6055.32,2022-07
2022-08-30,6372.26,2022-08
2022-09-30,6034.29,2022-09
2022-10-31,6435.24,2022-10
2022-11-30,6954.91,2022-11
2022-12-30,7058.28,2022-12
2023-01-31,7115.05,2023-01
2023-02-28,6735.88,2023-02
2023-03-31,6887.29,2023-03
2023-04-28,7323.81,2023-04
2023-05-31,7389.13,2023-05
2023-06-30,7794.73,2023-06
2023-07-31,8502.2,2023-07
2023-08-31,8385.8,2023-08
2023-09-29,9179.96,2023-09
2023-10-31,8882.4,2023-10
2023-11-30,9988.46,2023-11
2023-12-29,11364.37,2023-12
2024-01-31,12254.01,2024-01
2024-02-29,12625.95,2024-02
2024-03-28,12693.2,2024-03
2024-04-30,14047.15,2024-04
2024-05-31,14192.83,2024-05
2024-06-28,14734.18,2024-06
2024-07-31,15616.3,2024-07
2024-08-30,15431.09,2024-08
2024-09-30,15537.35,2024-09
2024-10-31,14363.78,2024-10
2024-11-29,14251.85,2024-11
2024-12-31,13481.1,2024-12
2025-01-31,13182.25,2025-01
2025-02-28,12010.65,2025-02
2025-03-28,13302.85,2025-03
2025-04-30,13437.85,2025-04
2025-05-30,13826.25,2025-05
2025-06-30,14365.4,2025-06
2025-07-31,13860.6,2025-07
2025-08-29,13571.75,2025-08
2025-09-30,14456.3,2025-09
2025-10-31,15138.4,2025-10
2025-11-28,14978.45,2025-11
2025-12-31,15534.2,2025-12
